<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
46    2256    22050.0    0.16    0.56    15    1.04    99    0.00    0    2    7   -0.00   9999   9999   0   0.000000;
46    2257    22050.0    0.15    0.53    15    1.04    99    0.00    0    2    7   0.04   9999   9999   0   0.000000;
47    1806    22050.0    0.16    0.56    15    1.04    99    0.00    0    2    7   0.06   9999   9999   0   0.000000;
47    1807    22050.0    0.26    0.92    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
47    2253    22050.0    0.22    0.78    15    1.04    99    0.00    0    2    7   0.00   9999   9999   0   0.000000;
48    2252    22050.0    0.12    0.42    15    1.04    99    0.00    0    2    7   0.04   9999   9999   0   0.000000;
48    2352    22050.0    0.09    0.32    15    1.04    99    0.00    0    2    7   -0.02   9999   9999   0   0.000000;
49    1819    22050.0    0.27    0.95    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
49    2814    22050.0    0.15    0.53    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
50    1804    22050.0    0.12    0.42    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
51    2814    22050.0    0.15    0.53    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
52    2251    22050.0    0.26    0.92    15    1.04    99    0.00    0    2    7   0.03   344   9999   0   0.000000;
52    2813    22050.0    0.19    0.67    15    1.04    99    0.00    0    2    7   -0.02   9999   9999   0   0.000000;
53    2352    22050.0    0.10    0.35    15    1.04    99    0.00    0    2    7   0.00   9999   9999   0   0.000000;
54    1798    22050.0    0.27    0.95    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
54    1801    22050.0    0.52    1.84    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
54    1803    22050.0    0.20    0.71    15    1.04    99    0.00    0    2    7   0.04   9999   9999   0   0.000000;
55    1769    22050.0    0.24    0.50    5.5    1.11    99    0.00    0    4    7   0.01   9999   9999   0   0.000000;
55    1795    22050.0    0.32    0.66    5.5    1.11    99    0.00    0    4    7   0.01   9999   9999   0   0.000000;
